,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45,item46,item47,item48,item49,item50,item51,item52,item53,item54,item55,item56,item57,item58,item59,item60,item61,item62,item63,item64,item65,item66,item67,item68,item69,item70,item71,item72,item73,item74,item75
11,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Cilandak] Mathematics 5,[Sekolah Cikal Cilandak] English Acquisition 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,[Sekolah Cikal Amri] Bahasa Indonesia Akuisisi 9,[Sekolah Cikal Amri] Comic Making B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,[Sekolah Cikal Amri] English Acquisition 8,[Sekolah Cikal Amri] Islamic Studies 8,[Sekolah Cikal Amri] Ensemble Music A,Sekolah Cikal Commencement Program for Secondary,[Sekolah Cikal Amri] Mathematics 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Cikal Holiday Program Visual Arts SMA,Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sekolah Cikal - Kelas 4 - IPS,Creative Coding Junior-Web Literacy Semester 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,[Sekolah Cikal Serpong] English Acquisition 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sekolah Cikal - Kelas 8 - Ilmu Pengetahuan Alam,Sekolah Cikal Serpong Mathematics 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sekolah Cikal Commencement Program for Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Serpong] Indonesian Acquisition 6,[Sekolah Cikal Serpong] Cikal Aksi-Aksi 6,[Sekolah Cikal Serpong] English Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sekolah Cikal Commencement Program for Secondary,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",[Sekolah Cikal Amri] PHE 10,ISB - Cara Belajar Seru Blended Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,[Sekolah Cikal Serpong] Mathematics 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,[Sekolah Cikal Cilandak] Sciences 6,[Sekolah Cikal Cilandak] Indonesian Acquisition 6,Sekolah Cikal Commencement Program for Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",Sekolah Cikal Commencement Program for Secondary,[Sekolah Cikal Amri] Design 8,[Sekolah Cikal Amri] English Acquisition 8,[Sekolah Cikal Amri] Mathematics 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,[Sekolah Cikal Amri] Media 10,[Sekolah Cikal Amri] English Acquisition 9,(Sekolah Cikal Amri) Islamic Studies 9,Sekolah Cikal Commencement Program for Secondary,[Sekolah Cikal Amri] PHE 9,[Sekolah Cikal Amri] Bahasa Indonesia Akuisisi 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,[Sekolah Cikal Amri] Mathematics 8,[Sekolah Cikal Amri] Islamic Studies 8,[Sekolah Cikal Amri] Cikal Aksi-Aksi 8,[Sekolah Cikal Amri] Indonesian Acqusition 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,[Sekolah Cikal Amri] Design 8,[Sekolah Cikal Amri] Sciences 8,[Sekolah Cikal Amri] Islamic Studies 8,[Sekolah Cikal Amri] Indonesian Acqusition 8,[Sekolah Cikal Amri] Ensemble Music A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,[Sekolah Cikal Cilandak] Sciences 6,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Cilandak] Mathematics 6,[Sekolah Cikal Cilandak] English Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Sekolah Cikal Commencement Program for Lower Secondary 2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,[Sekolah Cikal Cilandak] Sciences 5,[Sekolah Cikal Cilandak] Indonesian Acquisition 5,Sekolah Cikal - Kelas 4 - Pendidikan Jasmani Olahraga dan Kesehatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Cikal Holiday Program Visual Arts SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,[Sekolah Cikal Serpong] Mathematics 5,Sekolah Cikal Commencement Program for Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,[Sekolah Cikal Cilandak] English Acquisition 6,[Sekolah Cikal Cilandak] Indonesian Acquisition 6,[Sekolah Cikal Cilandak] Sciences 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,[Sekolah Cikal Amri] English Acquisition 9,[Sekolah Cikal Amri] Catholic Studies 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Sekolah Cikal Serpong Mathematics 9,[Sekolah Cikal Serpong] PSE 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,[Sekolah Cikal Amri] Mathematics 8,[Sekolah Cikal Serpong] Mathematics 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,[Sekolah Cikal Amri] Islamic Studies 8,[Sekolah Cikal Amri] Cikal Aksi-Aksi 8,[Sekolah Cikal Amri] Indonesian Acqusition 8,[Sekolah Cikal Amri] Design 8,Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,[Sekolah Cikal Cilandak] Leadership in Marketing A 5&6,[Sekolah Cikal Cilandak] Mathematics 6,[Sekolah Cikal Cilandak] Indonesian Acquisition 6,[Sekolah Cikal Cilandak] PSE 6,Sekolah Cikal Commencement Program for Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,[Sekolah Cikal Amri] Mathematics 9 (Extended),[Sekolah Cikal Amri] IGCSE Science - Combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,[Sekolah Cikal Cilandak] PSE 6,[Sekolah Cikal Cilandak] Sciences 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",[Sekolah Cikal Amri] Islamic Studies 8,[Sekolah Cikal Amri] Individuals and Societies 8,Individuals and Societies 8 Term 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,[Sekolah Cikal Cilandak] English Acquisition 5,[Sekolah Cikal Cilandak] Mathematics 5,Sekolah Cikal Commencement Program for Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,[Sekolah Cikal Surabaya] Design 9 and 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,[Sekolah Cikal Cilandak] Mathematics 5,[Sekolah Cikal Cilandak] English Acquisition 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,[Sekolah Cikal Amri] Mathematics 9 (Standard),[Sekolah Cikal Amri] English Acquisition 9,Sekolah Cikal Commencement Program for Secondary,[Sekolah Cikal Amri] Catholic Studies 9,[Sekolah Cikal Serpong] English Acquisition Y1,[Sekolah Cikal Amri] Bahasa Indonesia Akuisisi 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,[Sekolah Cikal Cilandak] Language Functional 5,[Sekolah Cikal Cilandak] Social Studies Functional 5,[Sekolah Cikal Cilandak] Mathematics Functional 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,[Sekolah Cikal Amri] Mathematics 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Sekolah Cikal Commencement Program for Secondary,[Sekolah Cikal Amri] Cikal Aksi-Aksi 8,[Sekolah Cikal Amri] Indonesian Acqusition 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",[Sekolah Cikal Amri] Sciences 7,[Sekolah Cikal Amri] Design 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,[Sekolah Cikal Cilandak] English Acquisition 5,Sekolah Cikal - Kelas 4 - Pendidikan Agama Islam,[Sekolah Cikal Cilandak] Leadership in GA,[Sekolah Cikal Cilandak] Leadership in Marketing A 5&6,[Sekolah Cikal Cilandak] Indonesian Acquisition 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,[Sekolah Cikal Cilandak] Sciences 6,[Sekolah Cikal Cilandak] English Acquisition 6,[Sekolah Cikal Cilandak] PSE 6,[Sekolah Cikal Cilandak] Indonesian Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Sekolah Cikal - Kelas 5 - IPA,Sekolah Cikal - Kelas 5 - IPS,Sekolah Cikal - Kelas 5 - Pendidikan Agama Islam,Sekolah Cikal - Kelas 5 - Matematika,[Sekolah Cikal Cilandak] Mathematics 6,[Sekolah Cikal Cilandak] Computer Graphic Intermediate,Sekolah Cikal - Kelas 5 - Seni Budaya,Sekolah Cikal Commencement Program for Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Sekolah Cikal Serpong Mathematics 10,Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,[Sekolah Cikal Cilandak] English Acquisition 6,(Sekolah Cikal Cilandak) Islamic Studies 6,[Sekolah Cikal Cilandak] Mathematics 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,[Sekolah Cikal Cilandak] Sciences 5,[Sekolah Cikal Cilandak] Indonesian Acquisition 5,[Sekolah Cikal Cilandak] Leadership in Marketing A 5&6,[Sekolah Cikal Cilandak] Mathematics 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,[Sekolah Cikal Serpong] Cikal Aksi-Aksi 5,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Serpong] Mathematics 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,[Sekolah Cikal Serpong] Cikal Aksi-Aksi 6,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Serpong] Indonesian Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,[Sekolah Cikal Amri] Mathematics 8,[Sekolah Cikal Serpong] Mathematics 8,Sekolah Cikal Commencement Program for Secondary,Raising Awareness of Decent Work and Economic Growth A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,[Sekolah Cikal Cilandak] Indonesian Acquisition 5,[Sekolah Cikal Cilandak] Social Studies 5,[Sekolah Cikal Cilandak] Sciences 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,[Sekolah Cikal Serpong] Mathematics 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,[Sekolah Cikal Cilandak] English Acquisition 5,[Sekolah Cikal Cilandak] Indonesian Acquisition 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,[Sekolah Cikal Cilandak] Chemistry Champs,[Sekolah Cikal Cilandak] English Acquisition 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Sekolah Cikal Commencement Program for Secondary,Sekolah Cikal Serpong Mathematics 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Serpong] English Acquisition 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,[Sekolah Cikal Serpong] Visual Arts 11,Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,[Sekolah Cikal Cilandak] English Acquisition 6,[Sekolah Cikal Cilandak] Mathematics 6,[Sekolah Cikal Cilandak] Sciences 6,[Sekolah Cikal Cilandak] Indonesian Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Cilandak] Social Studies 5,[Sekolah Cikal Cilandak] Indonesian Acquisition 5,[Sekolah Cikal Cilandak] Leadership in Marketing A 5&6,[Sekolah Cikal Cilandak] English Acquisition 5,Sekolah Cikal - Kelas 4 - Bahasa Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Sekolah Cikal Commencement Program for Secondary,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,[Sekolah Cikal Cilandak] English Acquisition 5 1:4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Cilandak] Mathematics 6,[Sekolah Cikal Cilandak] English Acquisition 6,[Sekolah Cikal Cilandak] Computer Graphic Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,[Sekolah Cikal Cilandak] Sciences 6,[Sekolah Cikal Cilandak] English Acquisition 6,Sekolah Cikal Commencement Program for Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,[Sekolah Cikal Serpong] Mathematics 8,[Sekolah Cikal Serpong] Sciences 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,[Sekolah Cikal Amri] Mathematics 8,[Sekolah Cikal Serpong] Mathematics 8,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Sekolah Cikal Commencement Program for Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,[Sekolah Cikal Cilandak] Sciences 6,[Sekolah Cikal Cilandak] Leadership in Marketing A 5&6,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Cilandak] Mathematics 6,[Sekolah Cikal Cilandak] Indonesian Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,[Sekolah Cikal Cilandak] PSE 6,[Sekolah Cikal Cilandak] Computer Graphic Beginner,[Sekolah Cikal Cilandak] Sciences 6,Sekolah Cikal Commencement Program for Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,[Sekolah Cikal Cilandak] Mathematics 5,[Sekolah Cikal Cilandak] CWR Intermediate,[Sekolah Cikal Cilandak] Sciences 5,[Sekolah Cikal Cilandak] Indonesian Acquisition 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",Sekolah Cikal - Kelas 8 - Ilmu Pengetahuan Alam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,[Sekolah Cikal Amri] Mathematics 9 (Standard),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,[Sekolah Cikal Surabaya] Sciences 6,[Sekolah Cikal Surabaya] PSE 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,[Sekolah Cikal Cilandak] Indonesian Acquisition 6,[Sekolah Cikal Cilandak] Mathematics 6,[Sekolah Cikal Cilandak] English Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,[Sekolah Cikal Amri] Islamic Studies 8,[Sekolah Cikal Amri] Cikal Aksi-Aksi 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,[Sekolah Cikal Cilandak] PSE 6,[Sekolah Cikal Cilandak] Indonesian Acquisition 6,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Cilandak] English Acquisition 4 1:4,[Sekolah Cikal Cilandak] Sciences 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,[Sekolah Cikal Cilandak] Sciences 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
